0.19647E-01 0.39288E-04 0.00000E+01 231792 0 0 13436 0.68370E+06 0.00000E+01 0.19647E-01 0.00000E+01 0.00000E+01 0
1 0.019005 0.0011143 3.0792 0.64134 0.019005
2 0.019534 0.00034621 1.3163 0.1552 0.019534
3 0.019817 0.00013732 0.72784 0.068999 0.019817
4 0.01817 0.0011187 3.2335 0.63535 0.01817
5 0.019934 0.00033737 1.257 0.17331 0.019934
6 0.019484 0.00013858 0.74706 0.080234 0.019484
7 0.019284 0.0011708 3.1885 0.72099 0.019284
8 0.019476 0.00032029 1.2214 0.14479 0.019476
9 0.019496 0.00013356 0.71956 0.066761 0.019496
10 0.017604 0.0010566 3.152 0.67554 0.017604
11 0.019304 0.00034293 1.3194 0.14815 0.019304
12 0.019562 0.00014162 0.76037 0.07084 0.019562
13 0.021341 0.0011994 2.9516 0.63565 0.021341
14 0.019503 0.00034013 1.2952 0.1841 0.019503
15 0.019498 0.00013524 0.72854 0.069611 0.019498
16 0.019404 0.001131 3.0611 0.61645 0.019404
17 0.019599 0.00033397 1.2656 0.15418 0.019599
18 0.019822 0.00013795 0.73097 0.070831 0.019822
19 0.019257 0.0011122 3.0333 0.57936 0.019257
20 0.019859 0.00033328 1.2464 0.14265 0.019859
21 0.01989 0.00013593 0.71781 0.07438 0.01989
22 0.019708 0.0011864 3.1615 0.72331 0.019708
23 0.019564 0.00033451 1.2699 0.14291 0.019564
24 0.019551 0.00013737 0.73798 0.062613 0.019551
25 0.018888 0.001054 2.9306 0.60744 0.018888
26 0.019105 0.0003331 1.2949 0.14209 0.019105
27 0.019584 0.00014181 0.7606 0.070279 0.019584
28 0.018615 0.001115 3.1456 0.63015 0.018615
29 0.019547 0.00032724 1.2434 0.13039 0.019547
30 0.01984 0.0001398 0.74008 0.075077 0.01984
31 0.018444 0.0010989 3.1289 0.72491 0.018444
32 0.019572 0.00033445 1.2691 0.1462 0.019572
33 0.019807 0.00013753 0.72932 0.066753 0.019807
34 0.020171 0.0011679 3.0406 0.62772 0.020171
35 0.02014 0.00034217 1.2618 0.15397 0.02014
36 0.019588 0.00013684 0.73374 0.071305 0.019588
